epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,203.473,3.02232,0.54849,0.86213,1.88176,9.7771e-05,9.7771e-05,9.7771e-05
2,409.625,1.64425,0.70011,0.94537,0.97123,0.000191895,0.000191895,0.000191895
3,609.619,1.13983,0.75214,0.9647,0.78492,0.000282138,0.000282138,0.000282138
4,814.077,0.94073,0.78521,0.96878,0.68585,0.000276536,0.000276536,0.000276536
5,1019.86,0.81989,0.78707,0.97027,0.64311,0.000270715,0.000270715,0.000270715
6,1230.79,0.74954,0.80862,0.96916,0.61512,0.000264894,0.000264894,0.000264894
7,1445.91,0.6919,0.80565,0.97064,0.59681,0.000259073,0.000259073,0.000259073
8,1670.66,0.62442,0.80342,0.97845,0.57395,0.000253252,0.000253252,0.000253252
9,1893.95,0.58001,0.82274,0.97436,0.56247,0.00024743,0.00024743,0.00024743
10,2118.5,0.55593,0.82088,0.97436,0.55183,0.000241609,0.000241609,0.000241609
11,2354.87,0.51706,0.81717,0.9751,0.55567,0.000235788,0.000235788,0.000235788
12,2587.19,0.49046,0.82757,0.97547,0.56558,0.000229967,0.000229967,0.000229967
13,2812.82,0.47201,0.82943,0.97733,0.53118,0.000224146,0.000224146,0.000224146
14,3038.21,0.45829,0.83129,0.97882,0.54577,0.000218324,0.000218324,0.000218324
15,3268,0.43436,0.83092,0.97733,0.55456,0.000212503,0.000212503,0.000212503
16,3501.03,0.4123,0.82386,0.97882,0.53688,0.000206682,0.000206682,0.000206682
17,3721.42,0.40695,0.83389,0.97956,0.53999,0.000200861,0.000200861,0.000200861
18,3963.74,0.37563,0.83278,0.97696,0.54319,0.00019504,0.00019504,0.00019504
19,4208.84,0.36739,0.83389,0.97696,0.53693,0.000189218,0.000189218,0.000189218
20,4466.39,0.36077,0.83649,0.97659,0.53743,0.000183397,0.000183397,0.000183397
21,4726.77,0.36167,0.84132,0.97993,0.52671,0.000177576,0.000177576,0.000177576
22,4992.86,0.33319,0.84653,0.97845,0.54763,0.000171755,0.000171755,0.000171755
23,5240.37,0.3363,0.84355,0.97882,0.52806,0.000165934,0.000165934,0.000165934
24,5505.15,0.3274,0.84318,0.9777,0.54061,0.000160112,0.000160112,0.000160112
25,5781.39,0.31639,0.84318,0.9803,0.53235,0.000154291,0.000154291,0.000154291
26,6082.73,0.30151,0.84392,0.97585,0.54455,0.00014847,0.00014847,0.00014847
27,6381.63,0.30094,0.84355,0.97696,0.52883,0.000142649,0.000142649,0.000142649
28,6674.57,0.28648,0.8495,0.9777,0.52951,0.000136828,0.000136828,0.000136828
29,6978.73,0.25992,0.83203,0.97622,0.54385,0.000131006,0.000131006,0.000131006
30,7178.7,0.27964,0.83612,0.97622,0.54039,0.000125185,0.000125185,0.000125185
31,7395.99,0.27373,0.83612,0.97733,0.54756,0.000119364,0.000119364,0.000119364
32,7589.71,0.26338,0.84058,0.97808,0.54367,0.000113543,0.000113543,0.000113543
33,7787.01,0.25665,0.84355,0.97622,0.54706,0.000107722,0.000107722,0.000107722
34,7987.09,0.25383,0.84355,0.97733,0.53093,0.0001019,0.0001019,0.0001019
35,8183.24,0.24661,0.83909,0.97585,0.54076,9.60792e-05,9.60792e-05,9.60792e-05
36,8376.34,0.24462,0.84058,0.97845,0.53948,9.0258e-05,9.0258e-05,9.0258e-05
37,8575.33,0.23416,0.84058,0.97919,0.55255,8.44368e-05,8.44368e-05,8.44368e-05
38,8770.49,0.23613,0.84504,0.97808,0.5299,7.86156e-05,7.86156e-05,7.86156e-05
39,8967.58,0.23978,0.84727,0.9777,0.52936,7.27944e-05,7.27944e-05,7.27944e-05
